Date,Alert Name,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used
15:April:2025 10:00:00,WindowsServerMemoryUsage,172.16.0.142,DR-Trading-Systems,HR,Critical 95%,Memory,8 Core,11.68 GB,,,0.58 GB,11.10 GB
16:April:2025 10:00:00,WindowsServerCpuUsage,172.16.0.143,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,8 Core,,,,2.00%,98.00%
17:April:2025 10:00:00,WindowsServerDiskSpaceUsage,172.16.3.202,STX-Focus,BackOffice,Critical 90%,Disk,2 Core,,1.05 GB,D:,0.10 GB,0.94 GB
18:April:2025 10:00:00,LinuxServerRootDiskSpace,172.16.1.88,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,2 Core,,23.45 GB,/,1.17 GB,22.28 GB
19:April:2025 10:00:00,WindowsServerMemoryUsage,172.16.3.206,DR-Trading-Systems,HR,Critical 95%,Memory,4 Core,7.75 GB,,,0.39 GB,7.36 GB
20:April:2025 10:00:00,WindowsServerCpuUsage,172.16.1.89,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,4 Core,,,,2.00%,98.00%
21:April:2025 10:00:00,WindowsServerDiskSpaceUsage,172.16.1.77,STX-Focus,BackOffice,Critical 90%,Disk,4 Core,,47.93 GB,D:,4.79 GB,43.13 GB
22:April:2025 10:00:00,LinuxServerRootDiskSpace,172.16.3.207,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,4 Core,,79.12 GB,/,3.96 GB,75.17 GB
23:April:2025 10:00:00,WindowsServerMemoryUsage,172.16.1.149,DR-Trading-Systems,HR,Critical 95%,Memory,4 Core,15.61 GB,,,0.78 GB,14.83 GB
24:April:2025 10:00:00,WindowsServerCpuUsage,172.16.0.14,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,16 Core,,,,2.00%,98.00%
25:April:2025 10:00:00,WindowsServerDiskSpaceUsage,172.16.0.10,STX-Focus,BackOffice,Critical 90%,Disk,32 Core,,1.91 GB,D:,0.19 GB,1.72 GB
26:April:2025 10:00:00,LinuxServerRootDiskSpace,172.16.6.43,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,4 Core,,117.56 GB,/,5.88 GB,111.68 GB
27:April:2025 10:00:00,WindowsServerMemoryUsage,192.168.1.156,DR-Trading-Systems,HR,Critical 95%,Memory,12 Core,23.19 GB,,,1.16 GB,22.03 GB
28:April:2025 10:00:00,WindowsServerCpuUsage,192.168.176.151,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,16 Core,,,,2.00%,98.00%
29:April:2025 10:00:00,WindowsServerDiskSpaceUsage,192.168.1.141,STX-Focus,BackOffice,Critical 90%,Disk,16 Core,,99.95 GB,D:,10.00 GB,89.96 GB
30:April:2025 10:00:00,LinuxServerRootDiskSpace,192.168.1.171,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,16 Core,,617.34 GB,/,30.87 GB,586.47 GB
01:May:2025 10:00:00,WindowsServerMemoryUsage,192.168.1.145,DR-Trading-Systems,HR,Critical 95%,Memory,16 Core,62.76 GB,,,3.14 GB,59.62 GB
02:May:2025 10:00:00,WindowsServerCpuUsage,192.168.176.146,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,24 Core,,,,2.00%,98.00%
03:May:2025 10:00:00,WindowsServerDiskSpaceUsage,192.168.1.226,STX-Focus,BackOffice,Critical 90%,Disk,8 Core,,96.66 GB,D:,9.67 GB,86.99 GB
04:May:2025 10:00:00,LinuxServerRootDiskSpace,192.168.1.165,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,4 Core,,69.94 GB,/,3.50 GB,66.44 GB
05:May:2025 10:00:00,WindowsServerMemoryUsage,192.168.1.172,DR-Trading-Systems,HR,Critical 95%,Memory,24 Core,94.24 GB,,,4.71 GB,89.53 GB
06:May:2025 10:00:00,WindowsServerCpuUsage,192.168.1.173,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,8 Core,,,,2.00%,98.00%
07:May:2025 14:38:38,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
07:May:2025 14:38:39,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
07:May:2025 14:38:43,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
07:May:2025 14:38:45,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
07:May:2025 14:38:46,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
07:May:2025 14:38:48,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
07:May:2025 15:38:43,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
07:May:2025 15:38:56,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
07:May:2025 15:38:56,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
07:May:2025 15:43:19,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
07:May:2025 15:43:34,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
07:May:2025 15:43:34,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
07:May:2025 16:38:43,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
07:May:2025 16:38:56,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
07:May:2025 16:38:56,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
07:May:2025 16:43:19,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
07:May:2025 16:43:34,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
07:May:2025 16:43:34,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
07:May:2025 17:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
07:May:2025 17:39:40,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
07:May:2025 17:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
07:May:2025 17:44:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
07:May:2025 17:44:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
07:May:2025 17:44:40,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
07:May:2025 18:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
07:May:2025 18:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
07:May:2025 18:44:40,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
07:May:2025 18:49:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
07:May:2025 18:49:40,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
07:May:2025 18:49:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
07:May:2025 19:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
07:May:2025 19:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
07:May:2025 19:49:40,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
07:May:2025 19:49:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
07:May:2025 19:54:40,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
07:May:2025 19:54:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
07:May:2025 20:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
07:May:2025 20:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
07:May:2025 20:54:40,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
07:May:2025 20:54:40,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
07:May:2025 20:54:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
07:May:2025 20:54:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
07:May:2025 21:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
07:May:2025 21:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
07:May:2025 21:54:40,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
07:May:2025 21:59:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
07:May:2025 21:59:40,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
07:May:2025 21:59:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
07:May:2025 22:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
07:May:2025 22:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
07:May:2025 22:59:40,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
07:May:2025 22:59:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
07:May:2025 23:02:26,WindowsServerMemoryUsage,172.16.0.47,BO,BackOffice,Critical 90%,Memory,N/A,N/A,,,N/A,91.08%
07:May:2025 23:04:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
07:May:2025 23:04:40,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
07:May:2025 23:19:43,LinuxServerMemoryUsage,192.168.15.111,smc-trading-bod-bhalu,Pre-Trade-Team,Critical 90%,Memory,N/A,N/A,,,709.4m,90.00%
07:May:2025 23:29:43,LinuxServerMemoryUsage,192.168.15.111,smc-trading-bod-bhalu,Pre-Trade-Team,Critical 90%,Memory,N/A,N/A,,,1.119,90.00%
07:May:2025 23:32:26,WindowsServerMemoryUsage,172.16.0.47,BO,BackOffice,Critical 90%,Memory,N/A,N/A,,,N/A,91.17%
07:May:2025 23:32:28,LinuxServerMemoryUsage,192.168.15.111,smc-trading-bod-bhalu,Pre-Trade-Team,Critical 90%,Memory,N/A,N/A,,,2.424,90.00%
07:May:2025 23:34:41,WindowsServerMemoryUsage,172.16.0.47,BO,BackOffice,Critical 90%,Memory,N/A,N/A,,,N/A,91.68%
07:May:2025 23:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
07:May:2025 23:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
07:May:2025 23:59:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
07:May:2025 23:59:40,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
08:May:2025 00:04:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
08:May:2025 00:07:28,LinuxServerMemoryUsage,192.168.15.111,smc-trading-bod-bhalu,Pre-Trade-Team,Critical 90%,Memory,N/A,N/A,,,2.315,90.00%
08:May:2025 00:09:40,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
08:May:2025 00:09:58,LinuxServerMemoryUsage,192.168.15.111,smc-trading-bod-bhalu,Pre-Trade-Team,Critical 90%,Memory,N/A,N/A,,,2.287,90.00%
08:May:2025 00:19:58,LinuxServerMemoryUsage,192.168.15.111,smc-trading-bod-bhalu,Pre-Trade-Team,Critical 90%,Memory,N/A,N/A,,,7.134,90.00%
08:May:2025 00:34:41,WindowsServerMemoryUsage,172.16.0.47,BO,BackOffice,Critical 90%,Memory,N/A,N/A,,,N/A,97.57%
08:May:2025 00:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
08:May:2025 00:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
08:May:2025 00:59:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
08:May:2025 01:04:40,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
08:May:2025 01:04:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
08:May:2025 01:09:40,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
08:May:2025 01:34:41,WindowsServerMemoryUsage,172.16.0.47,BO,BackOffice,Critical 90%,Memory,N/A,N/A,,,N/A,97.79%
08:May:2025 01:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
08:May:2025 01:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
08:May:2025 01:59:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
08:May:2025 02:04:40,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
08:May:2025 02:04:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
08:May:2025 02:09:40,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
08:May:2025 02:34:41,WindowsServerMemoryUsage,172.16.0.47,BO,BackOffice,Critical 90%,Memory,N/A,N/A,,,N/A,97.76%
08:May:2025 02:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
08:May:2025 02:39:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
08:May:2025 02:59:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
08:May:2025 03:04:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
08:May:2025 03:04:40,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
08:May:2025 03:04:41,WindowsServerMemoryUsage,172.16.0.47,BO,BackOffice,Critical 90%,Memory,N/A,N/A,,,N/A,97.75%
08:May:2025 03:05:26,WindowsServerMemoryUsage,172.16.0.47,BO,BackOffice,Critical 90%,Memory,N/A,N/A,,,N/A,97.79%
08:May:2025 03:05:26,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.27GB 
  ServerDetails",90.00%
08:May:2025 03:05:26,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
08:May:2025 03:09:40,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
08:May:2025 03:09:40,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
08:May:2025 03:09:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
08:May:2025 03:59:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
08:May:2025 04:05:26,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
08:May:2025 04:05:26,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.28GB 
  ServerDetails",90.00%
08:May:2025 04:05:26,WindowsServerMemoryUsage,172.16.0.47,BO,BackOffice,Critical 90%,Memory,N/A,N/A,,,N/A,97.80%
08:May:2025 04:09:40,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
08:May:2025 04:09:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
08:May:2025 04:14:40,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
08:May:2025 04:59:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
08:May:2025 05:05:26,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
08:May:2025 05:05:26,WindowsServerMemoryUsage,172.16.0.47,BO,BackOffice,Critical 90%,Memory,N/A,N/A,,,N/A,96.67%
08:May:2025 05:05:26,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"91.28GB 
  ServerDetails",90.00%
08:May:2025 05:09:40,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
08:May:2025 05:14:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.09 GB,F:,89.41 GB,804.69 GB
08:May:2025 05:19:40,WindowsServerDiskSpaceUsage,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical 90%,Disk,16 Core,,3.15 TB,E:,322.56 GB,2.83 TB
08:May:2025 05:59:40,WindowsServerDiskSpaceUsage,172.16.0.187,Stoxkart,DBA-Team,Critical 90%,Disk,32 Core,,894.22 GB,E:,89.42 GB,804.80 GB
08:May:2025 06:05:26,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,F:,"92.13GB 
  ServerDetails",90.00%
08:May:2025 06:05:26,WindowsServerMemoryUsage,172.16.0.47,BO,BackOffice,Critical 90%,Memory,N/A,N/A,,,N/A,95.42%
08:May:2025 06:09:40,LinuxServerRootDiskSpace,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical 90%,Disk,N/A,,N/A,/backup,"7.458GB 
  ServerDetails",90.00%
08:May:2025 06:10:26,WindowsServerDiskSpaceUsage,172.16.0.47,BO,BackOffice,Critical 90%,Disk,N/A,,N/A,D:,"90.82GB 
  ServerDetails",90.00%
