Date,Alert Name,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used
01:January:2026 05:04:42,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 05:29:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 05:36:56,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.62%
01:January:2026 06:01:56,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.38%
01:January:2026 06:04:42,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 06:29:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 06:44:42,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 06:45:27,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 07:29:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 07:45:27,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 08:29:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 08:45:27,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 09:03:11,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,F:,"91.09GB 
  ServerDetails",90.00%
01:January:2026 09:23:11,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,F:,"91.09GB 
  ServerDetails",90.00%
01:January:2026 09:29:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 09:45:27,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 10:29:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 10:50:27,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 11:29:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 11:50:27,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 12:29:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 12:50:27,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 13:29:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 13:50:27,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 14:29:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 14:50:27,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 15:29:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 15:50:27,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 16:29:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 16:50:27,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 17:29:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 17:50:27,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 18:25:27,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 18:26:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 18:34:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 19:26:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 19:34:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 20:26:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 20:34:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 21:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 21:34:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 22:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 22:34:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 22:42:11,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,F:,"94.25GB 
  ServerDetails",90.00%
01:January:2026 22:52:11,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,F:,"98.52GB 
  ServerDetails",90.00%
01:January:2026 23:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
01:January:2026 23:34:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
01:January:2026 23:37:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.13%
02:January:2026 00:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 00:34:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
02:January:2026 00:37:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,97.61%
02:January:2026 01:11:11,Critical 80% - Memory,192.168.1.171,Stoxkart-RupeeSeed,Product-team,Critical,Memory,16 Core,109.99 GB,,,22.00 GB,87.99 GB
02:January:2026 01:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 01:34:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
02:January:2026 01:37:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,97.84%
02:January:2026 02:11:11,Critical 80% - Memory,192.168.1.171,Stoxkart-RupeeSeed,Product-team,Critical,Memory,16 Core,109.99 GB,,,22.00 GB,87.99 GB
02:January:2026 02:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 02:34:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
02:January:2026 02:37:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,97.84%
02:January:2026 02:56:11,Critical 80% - Memory,192.168.1.171,Stoxkart-RupeeSeed,Product-team,Critical,Memory,16 Core,109.99 GB,,,22.00 GB,87.99 GB
02:January:2026 03:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 03:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.98GB 
  ServerDetails",90.00%
02:January:2026 03:37:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,97.77%
02:January:2026 04:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 04:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.39GB 
  ServerDetails",90.00%
02:January:2026 04:37:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,97.71%
02:January:2026 05:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 05:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 05:37:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.59%
02:January:2026 06:02:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.17%
02:January:2026 06:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 06:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 07:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 07:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 08:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 08:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 09:01:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,F:,"91.13GB 
  ServerDetails",90.00%
02:January:2026 09:26:41,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,F:,"91.13GB 
  ServerDetails",90.00%
02:January:2026 09:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 09:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 10:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 10:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 11:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 11:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 12:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 12:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 13:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 13:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 14:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 14:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 15:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 15:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 16:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 16:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 17:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 17:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 18:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 18:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 19:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 19:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 20:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 20:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 21:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 21:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 22:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 22:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 23:12:11,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,F:,"90.18GB 
  ServerDetails",90.00%
02:January:2026 23:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
02:January:2026 23:32:11,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,F:,"98.26GB 
  ServerDetails",90.00%
02:January:2026 23:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
02:January:2026 23:43:26,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.70%
03:January:2026 00:31:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
03:January:2026 00:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
03:January:2026 00:43:26,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.72%
03:January:2026 01:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.92GB 
  ServerDetails",90.00%
03:January:2026 01:36:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
03:January:2026 01:43:26,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,97.41%
03:January:2026 02:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.93GB 
  ServerDetails",90.00%
03:January:2026 02:36:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
03:January:2026 02:43:26,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.54%
03:January:2026 03:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.93GB 
  ServerDetails",90.00%
03:January:2026 03:36:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
03:January:2026 03:43:26,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.61%
03:January:2026 04:20:08,Critical 90% - CPU,172.16.0.119,StoxKart,Compliance,Critical,CPU,8 Core,,,,2.25%,97.75%
03:January:2026 04:25:08,Critical 90% - CPU,172.16.0.119,StoxKart,Compliance,Critical,CPU,8 Core,,,,2.61%,97.39%
03:January:2026 04:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.35GB 
  ServerDetails",90.00%
03:January:2026 04:36:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
03:January:2026 04:43:26,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.77%
03:January:2026 05:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.93GB 
  ServerDetails",90.00%
03:January:2026 05:36:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
03:January:2026 05:43:26,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.67%
03:January:2026 06:03:26,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.31%
03:January:2026 06:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.93GB 
  ServerDetails",90.00%
03:January:2026 06:36:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
03:January:2026 07:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.93GB 
  ServerDetails",90.00%
03:January:2026 07:36:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
03:January:2026 08:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.93GB 
  ServerDetails",90.00%
03:January:2026 08:36:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
03:January:2026 09:05:26,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,F:,"91.15GB 
  ServerDetails",90.00%
03:January:2026 09:20:26,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,F:,"91.15GB 
  ServerDetails",90.00%
03:January:2026 09:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.93GB 
  ServerDetails",90.00%
03:January:2026 09:36:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
03:January:2026 10:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.93GB 
  ServerDetails",90.00%
03:January:2026 10:36:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
03:January:2026 11:34:42,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"93.93GB 
  ServerDetails",90.00%
03:January:2026 11:36:57,Critical 65% - Disk,192.168.176.149,DR-DB-LIVE-SERVER,DR-Trading-Systems,Critical,Disk,16 Core,,449.98 GB,E:,157.49 GB,292.49 GB
