Date,Alert Name,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used
16:January:2025 10:00:00,Critical 98% - CPU,172.16.1.172,STX-IOB-WindowsDB,Product-team,Critical,CPU,8 Core,,,,2.00%,98.00%
17:January:2025 10:00:00,Critical 90% - Disk,172.16.0.142,STX-Focus,BackOffice,Critical,Disk,8 Core,,72.28 GB,D:,7.23 GB,65.06 GB
18:January:2025 10:00:00,Critical 95% - Disk,172.16.0.143,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,8 Core,,72.28 GB,/,3.61 GB,68.67 GB
19:January:2025 10:00:00,Critical 95% - Memory,172.16.3.202,DR-Trading-Systems,HR,Critical,Memory,2 Core,3.82 GB,,,0.19 GB,3.63 GB
20:January:2025 10:00:00,Critical 98% - CPU,172.16.1.88,STX-IOB-WindowsDB,Product-team,Critical,CPU,2 Core,,,,2.00%,98.00%
21:January:2025 10:00:00,Critical 90% - Disk,172.16.3.206,STX-Focus,BackOffice,Critical,Disk,4 Core,,1.05 GB,D:,0.10 GB,0.94 GB
22:January:2025 10:00:00,Critical 95% - Disk,172.16.1.89,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,4 Core,,47.93 GB,/,2.40 GB,45.53 GB
23:January:2025 10:00:00,Critical 95% - Memory,172.16.1.77,DR-Trading-Systems,HR,Critical,Memory,4 Core,7.72 GB,,,0.39 GB,7.33 GB
24:January:2025 10:00:00,Critical 98% - CPU,172.16.3.207,STX-IOB-WindowsDB,Product-team,Critical,CPU,4 Core,,,,2.00%,98.00%
25:January:2025 10:00:00,Critical 90% - Disk,172.16.1.149,STX-Focus,BackOffice,Critical,Disk,4 Core,,1.05 GB,D:,0.10 GB,0.94 GB
26:January:2025 10:00:00,Critical 95% - Disk,172.16.0.14,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,16 Core,,552.64 GB,/,27.63 GB,525.01 GB
27:January:2025 10:00:00,Critical 95% - Memory,172.16.0.10,DR-Trading-Systems,HR,Critical,Memory,32 Core,62.71 GB,,,3.14 GB,59.58 GB
28:January:2025 10:00:00,Critical 98% - CPU,172.16.6.43,STX-IOB-WindowsDB,Product-team,Critical,CPU,4 Core,,,,2.00%,98.00%
29:January:2025 10:00:00,Critical 90% - Disk,192.168.1.156,STX-Focus,BackOffice,Critical,Disk,12 Core,,420.21 GB,D:,42.02 GB,378.19 GB
30:January:2025 10:00:00,Critical 95% - Disk,192.168.176.151,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,16 Core,,98.31 GB,/,4.92 GB,93.39 GB
31:January:2025 10:00:00,Critical 95% - Memory,192.168.1.141,DR-Trading-Systems,HR,Critical,Memory,16 Core,94.24 GB,,,4.71 GB,89.53 GB
01:February:2025 10:00:00,Critical 98% - CPU,192.168.1.171,STX-IOB-WindowsDB,Product-team,Critical,CPU,16 Core,,,,2.00%,98.00%
02:February:2025 10:00:00,Critical 90% - Disk,192.168.1.145,STX-Focus,BackOffice,Critical,Disk,16 Core,,3.81 GB,D:,0.38 GB,3.43 GB
03:February:2025 10:00:00,Critical 95% - Disk,192.168.176.146,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,24 Core,,455.64 GB,/,22.78 GB,432.86 GB
04:February:2025 10:00:00,Critical 95% - Memory,192.168.1.226,DR-Trading-Systems,HR,Critical,Memory,8 Core,23.53 GB,,,1.18 GB,22.35 GB
05:February:2025 10:00:00,Critical 98% - CPU,192.168.1.165,STX-IOB-WindowsDB,Product-team,Critical,CPU,4 Core,,,,2.00%,98.00%
06:February:2025 10:00:00,Critical 90% - Disk,192.168.1.172,STX-Focus,BackOffice,Critical,Disk,24 Core,,449.86 GB,D:,44.99 GB,404.87 GB
07:February:2025 10:00:00,Critical 95% - Disk,192.168.1.173,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,8 Core,,117.19 GB,/,5.86 GB,111.33 GB
08:February:2025 10:00:00,Critical 95% - Memory,192.168.1.176,DR-Trading-Systems,HR,Critical,Memory,16 Core,78.49 GB,,,3.92 GB,74.57 GB
09:February:2025 10:00:00,Critical 98% - CPU,192.168.1.227,STX-IOB-WindowsDB,Product-team,Critical,CPU,8 Core,,,,2.00%,98.00%
10:February:2025 10:00:00,Critical 90% - Disk,192.168.176.155,STX-Focus,BackOffice,Critical,Disk,16 Core,,99.95 GB,D:,10.00 GB,89.96 GB
11:February:2025 10:00:00,Critical 95% - Disk,192.168.1.159,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,24 Core,,455.64 GB,/,22.78 GB,432.86 GB
12:February:2025 10:00:00,Critical 95% - Memory,192.168.176.154,DR-Trading-Systems,HR,Critical,Memory,24 Core,78.49 GB,,,3.92 GB,74.57 GB
13:February:2025 10:00:00,Critical 98% - CPU,192.168.176.153,STX-IOB-WindowsDB,Product-team,Critical,CPU,8 Core,,,,2.00%,98.00%
14:February:2025 10:00:00,Critical 90% - Disk,192.168.1.59,STX-Focus,BackOffice,Critical,Disk,12 Core,,335.15 GB,D:,33.52 GB,301.64 GB
15:February:2025 10:00:00,Critical 95% - Disk,172.16.0.217,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,12 Core,,147.88 GB,/,7.39 GB,140.49 GB
16:February:2025 10:00:00,Critical 95% - Memory,192.168.176.244,DR-Trading-Systems,HR,Critical,Memory,8 Core,16.00 GB,,,0.80 GB,15.20 GB
17:February:2025 10:00:00,Critical 98% - CPU,172.16.0.244,STX-IOB-WindowsDB,Product-team,Critical,CPU,16 Core,,,,2.00%,98.00%
18:February:2025 10:00:00,Critical 90% - Disk,192.168.176.117,STX-Focus,BackOffice,Critical,Disk,16 Core,,292.97 GB,D:,29.30 GB,263.67 GB
19:February:2025 10:00:00,Critical 95% - Disk,192.168.176.118,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,16 Core,,199.40 GB,/,9.97 GB,189.43 GB
20:February:2025 10:00:00,Critical 95% - Memory,172.16.0.246,DR-Trading-Systems,HR,Critical,Memory,32 Core,550.00 GB,,,27.50 GB,522.50 GB
21:February:2025 10:00:00,Critical 98% - CPU,172.16.0.87,STX-IOB-WindowsDB,Product-team,Critical,CPU,32 Core,,,,2.00%,98.00%
22:February:2025 10:00:00,Critical 90% - Disk,172.16.1.23,STX-Focus,BackOffice,Critical,Disk,16 Core,,199.98 GB,D:,20.00 GB,179.98 GB
23:February:2025 10:00:00,Critical 95% - Disk,172.16.1.174,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,4 Core,,149.40 GB,/,7.47 GB,141.93 GB
24:February:2025 10:00:00,Critical 95% - Memory,172.16.1.24,DR-Trading-Systems,HR,Critical,Memory,16 Core,64.00 GB,,,3.20 GB,60.80 GB
25:February:2025 10:00:00,Critical 98% - CPU,172.16.0.187,STX-IOB-WindowsDB,Product-team,Critical,CPU,32 Core,,,,2.00%,98.00%
26:February:2025 10:00:00,Critical 90% - Disk,172.16.0.216,STX-Focus,BackOffice,Critical,Disk,8 Core,,199.04 GB,D:,19.90 GB,179.13 GB
27:February:2025 10:00:00,Critical 95% - Disk,192.168.1.190,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,16 Core,,199.40 GB,/,9.97 GB,189.43 GB
28:February:2025 10:00:00,Critical 95% - Memory,172.16.0.247,DR-Trading-Systems,HR,Critical,Memory,16 Core,64.00 GB,,,3.20 GB,60.80 GB
01:March:2025 10:00:00,Critical 98% - CPU,192.168.176.245,STX-IOB-WindowsDB,Product-team,Critical,CPU,8 Core,,,,2.00%,98.00%
02:March:2025 10:00:00,Critical 90% - Disk,192.168.176.243,STX-Focus,BackOffice,Critical,Disk,8 Core,,175.78 GB,D:,17.58 GB,158.20 GB
03:March:2025 10:00:00,Critical 95% - Disk,172.16.14.150,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,2 Core,,223.47 GB,/,11.17 GB,212.30 GB
04:March:2025 10:00:00,Critical 95% - Memory,192.168.1.161,DR-Trading-Systems,HR,Critical,Memory,16 Core,64.00 GB,,,3.20 GB,60.80 GB
05:March:2025 10:00:00,Critical 98% - CPU,192.168.176.149,STX-IOB-WindowsDB,Product-team,Critical,CPU,16 Core,,,,2.00%,98.00%
06:March:2025 10:00:00,Critical 90% - Disk,192.168.1.174,STX-Focus,BackOffice,Critical,Disk,16 Core,,146.48 GB,D:,14.65 GB,131.83 GB
07:March:2025 10:00:00,Critical 95% - Disk,192.168.1.200,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,16 Core,,558.57 GB,/,27.93 GB,530.64 GB
08:March:2025 10:00:00,Critical 95% - Memory,192.168.1.160,DR-Trading-Systems,HR,Critical,Memory,12 Core,15.87 GB,,,0.79 GB,15.08 GB
09:March:2025 10:00:00,Critical 98% - CPU,192.168.176.158,STX-IOB-WindowsDB,Product-team,Critical,CPU,24 Core,,,,2.00%,98.00%
10:March:2025 10:00:00,Critical 90% - Disk,192.168.176.152,STX-Focus,BackOffice,Critical,Disk,16 Core,,146.48 GB,D:,14.65 GB,131.83 GB
11:March:2025 10:00:00,Critical 95% - Disk,192.168.1.155,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,16 Core,,149.40 GB,/,7.47 GB,141.93 GB
12:March:2025 10:00:00,Critical 95% - Memory,172.16.0.139,DR-Trading-Systems,HR,Critical,Memory,16 Core,32.00 GB,,,1.60 GB,30.40 GB
13:March:2025 10:00:00,Critical 98% - CPU,172.16.0.119,STX-IOB-WindowsDB,Product-team,Critical,CPU,8 Core,,,,2.00%,98.00%
14:March:2025 10:00:00,Critical 90% - Disk,192.168.1.225,STX-Focus,BackOffice,Critical,Disk,36 Core,,600.00 GB,D:,60.00 GB,540.00 GB
15:March:2025 10:00:00,Critical 95% - Disk,192.168.1.202,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,N/A,,147.88 GB,/,7.39 GB,140.49 GB
16:March:2025 10:00:00,Critical 95% - Memory,172.16.0.215,DR-Trading-Systems,HR,Critical,Memory,N/A,N/A,,,N/A,95.00%
17:March:2025 10:00:00,Critical 98% - CPU,192.168.1.144,STX-IOB-WindowsDB,Product-team,Critical,CPU,N/A,,,,2.00%,98.00%
18:March:2025 10:00:00,Critical 90% - Disk,192.168.176.111,STX-Focus,BackOffice,Critical,Disk,N/A,,400.00 GB,D:,40.00 GB,360.00 GB
19:March:2025 10:00:00,Critical 95% - Disk,172.16.3.170,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,N/A,,199.40 GB,/,9.97 GB,189.43 GB
20:March:2025 10:00:00,Critical 95% - Memory,10.111.66.120,DR-Trading-Systems,HR,Critical,Memory,8 Core,31.06 GB,,,1.55 GB,29.51 GB
21:March:2025 10:00:00,Critical 98% - CPU,172.16.0.233,STX-IOB-WindowsDB,Product-team,Critical,CPU,16 Core,,,,2.00%,98.00%
22:March:2025 10:00:00,Critical 90% - Disk,172.16.5.60,STX-Focus,BackOffice,Critical,Disk,8 Core,,3.81 GB,D:,0.38 GB,3.43 GB
23:March:2025 10:00:00,Critical 95% - Disk,172.16.5.63,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,8 Core,,456.59 GB,/,22.83 GB,433.76 GB
24:March:2025 10:00:00,Critical 95% - Memory,172.16.0.91,DR-Trading-Systems,HR,Critical,Memory,4 Core,7.39 GB,,,0.37 GB,7.02 GB
25:March:2025 10:00:00,Critical 98% - CPU,172.16.5.61,STX-IOB-WindowsDB,Product-team,Critical,CPU,8 Core,,,,2.00%,98.00%
26:March:2025 10:00:00,Critical 90% - Disk,172.16.5.62,STX-Focus,BackOffice,Critical,Disk,8 Core,,3.81 GB,D:,0.38 GB,3.43 GB
27:March:2025 10:00:00,Critical 95% - Disk,172.16.5.66,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,2 Core,,177.05 GB,/,8.85 GB,168.20 GB
28:March:2025 10:00:00,Critical 95% - Memory,192.168.1.143,DR-Trading-Systems,HR,Critical,Memory,8 Core,31.26 GB,,,1.56 GB,29.70 GB
29:March:2025 10:00:00,Critical 98% - CPU,172.16.1.99,STX-IOB-WindowsDB,Product-team,Critical,CPU,4 Core,,,,2.00%,98.00%
30:March:2025 10:00:00,Critical 90% - Disk,172.16.2.217,STX-Focus,BackOffice,Critical,Disk,4 Core,,80.15 GB,D:,8.02 GB,72.14 GB
31:March:2025 10:00:00,Critical 95% - Disk,172.16.1.93,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,4 Core,,47.93 GB,/,2.40 GB,45.53 GB
